Number,Station,x,y
-23.05,US009052008,43.7333,-96.6333
4.7,USC00010063,34.2553,-87.1814
8.85,USC00010160,32.9453,-85.9481
8.6,USC00010178,33.1272,-88.155
5.8,USC00010252,31.3072,-86.5225
5.25,USC00010260,34.9628,-87.3719
7.5,USC00010369,33.2942,-85.7789
0.55,USC00010390,34.7753,-86.9508
11.15,USC00010402,31.1819,-87.4389
3.9,USC00010425,32.5992,-85.4653
9.2,USC00010505,33.4528,-87.3572
13.05,USC00010583,30.8839,-87.7853
4.7,USC00010655,34.6892,-86.8819
3.05,USC00010764,33.3953,-87.0078
11.65,USC00011080,31.1414,-87.0486
10.8,USC00011084,31.0583,-87.055
5.0,USC00011490,34.15,-85.6847
11.4,USC00011566,31.4714,-88.2503
7.8,USC00011620,33.285,-86.3431
10.0,USC00011725,31.8708,-85.45
13.6,USC00011803,30.3875,-88.2269
5.55,USC00012096,34.1925,-86.7972
12.75,USC00012172,30.2506,-88.0775
9.75,USC00012245,32.5192,-87.88
7.8,USC00012350,33.7478,-87.0586
6.95,USC00012730,32.0111,-85.09
11.15,USC00012758,31.445,-86.9533
13.05,USC00012813,30.5467,-87.8808
3.35,USC00012883,33.7092,-87.8153
3.6,USC00013043,34.4406,-85.7236
9.4,USC00013160,32.8347,-88.1342
11.65,USC00013251,31.0383,-85.8708
7.5,USC00013511,32.6922,-87.5761
8.9,USC00013519,31.79,-86.6086
6.35,USC00013573,34.3344,-86.3297
6.1,USC00013575,34.3347,-86.3294
2.75,USC00013620,34.2314,-87.6353
6.4,USC00013645,34.0967,-87.9914
6.65,USC00013655,34.0678,-86.7911
12.25,USC00013761,31.3625,-85.3397
6.1,USC00013775,33.6436,-85.6092
3.3,USC00013781,33.2725,-86.8336
11.15,USC00014193,31.5253,-87.9278
7.5,USC00014226,33.9047,-87.3153
5.85,USC00014502,32.9069,-85.4336
8.9,USC00015121,32.4714,-87.2314
8.6,USC00015439,32.4419,-85.8889
7.5,USC00015553,32.26,-86.2181
4.4,USC00015635,34.4883,-87.2989
3.6,USC00015752,34.7889,-87.5394
7.8,USC00016129,32.6592,-85.4492
5.25,USC00016196,34.5528,-86.445
1.4,USC00016478,33.6906,-86.685
13.6,USC00016988,30.5653,-87.7017
6.1,USC00017020,32.8711,-86.1758
6.1,USC00017025,33.1581,-85.2911
0.25,USC00017131,34.51,-87.7319
1.15,USC00017157,34.1736,-86.8133
4.75,USC00017207,34.2878,-85.9681
9.7,USC00017366,32.4111,-87.0144
8.05,USC00017999,33.2053,-86.2114
8.35,USC00018024,33.4164,-86.135
10.0,USC00018178,31.9172,-87.7347
8.6,USC00018209,32.9206,-86.6708
10.0,USC00018323,31.8075,-85.9722
6.65,USC00018380,33.2119,-87.6161
9.75,USC00018438,32.0142,-85.7464
5.25,USC00018469,34.5686,-85.6064
9.45,USC00018517,33.7392,-88.1275
3.05,USC00018812,34.2833,-86.9142
9.45,USC00018859,32.5936,-86.1664
5.85,USC00018998,33.9108,-87.8469
10.55,USC00020080,32.3697,112.86
7.8,USC00020100,34.2281,113.5778
-3.35,USC00020159,33.8492,109.1469
13.35,USC00020288,33.4625,111.4814
7.25,USC00020404,32.7306,111.6917
4.45,USC00020586,34.5975,113.1744
3.35,USC00020672,36.9139,113.9422
-6.1,USC00020678,35.2303,111.8222
10.0,USC00020683,31.8806,110.2403
3.35,USC00020775,31.4475,109.9289
0.25,USC00020808,33.4783,109.7517
-6.9,USC00020871,34.6108,111.1922
9.15,USC00020949,33.9431,114.0242
3.9,USC00020958,32.325,109.4917
-10.25,USC00021001,36.2147,112.062
12.2,USC00021050,35.1411,114.5686
2.25,USC00021231,31.5589,110.5294
-10.0,USC00021248,36.1533,109.5394
12.8,USC00021282,33.8161,111.9019
9.45,USC00021314,32.9947,111.5367
6.1,USC00021330,32.2617,110.3481
12.75,USC00021353,33.9825,112.3628
7.8,USC00021357,32.4178,110.9303
4.15,USC00021654,34.7569,112.4567
-1.1,USC00021920,36.9936,112.9719
8.6,USC00022109,34.305,112.165
4.15,USC00022140,31.3456,110.2542
12.2,USC00022434,32.9711,113.4981
0.25,USC00022527,35.2947,113.3667
3.35,USC00022754,32.7481,109.1214
15.3,USC00022782,33.4192,111.6444
11.35,USC00022790,33.6133,114.4706
-6.35,USC00023009,35.1611,111.7311
4.45,USC00023150,33.0094,109.9855
-5.55,USC00023160,35.2681,111.7428
10.85,USC00023190,33.6028,111.7131
-5.55,USC00023250,36.9414,112.5258
13.35,USC00023393,32.9381,112.6811
4.45,USC00023501,33.3947,110.7933
7.2,USC00023668,31.8931,110.9978
-4.15,USC00023683,34.0219,109.4519
-1.1,USC00023828,34.7433,111.4139
-4.75,USC00023961,34.3925,110.5581
-4.15,USC00024089,34.9094,110.1544
4.45,USC00024534,31.8353,110.3553
-10.55,USC00024586,35.8108,110.1933
14.7,USC00024702,33.2742,113.9653
11.4,USC00024761,34.5031,114.3603
11.95,USC00024829,33.3372,112.1469
1.15,USC00024849,36.8644,111.6022
11.4,USC00024977,33.4992,112.3631
12.2,USC00025270,33.1139,112.0303
-5.8,USC00025412,34.1142,109.8589
5.0,USC00025635,34.6106,111.8381
0.8,USC00025732,32.4486,110.7544
-6.1,USC00025780,34.9364,111.6392
4.75,USC00025825,34.3219,111.4533
6.7,USC00025924,31.4553,110.9681
13.9,USC00026132,31.9556,112.8003
-1.65,USC00026180,36.9208,111.4483
13.05,USC00026194,33.0772,113.0317
-0.85,USC00026242,31.9353,109.2186
4.45,USC00026353,31.9356,109.8378
-7.5,USC00026468,34.7994,109.885
4.15,USC00026471,36.1067,112.0947
9.75,USC00026513,32.6464,111.4017
-4.45,USC00026601,34.1239,109.9219
11.95,USC00026603,33.7275,111.8606
-0.55,USC00026653,34.1003,110.9658
0.0,USC00026716,31.8833,109.2056
-0.85,USC00026796,34.5706,112.4322
6.1,USC00026840,33.8556,111.3064
9.45,USC00026865,33.665,114.2272
7.2,USC00027281,33.6489,111.1089
5.85,USC00027390,32.815,109.6808
8.9,USC00027398,32.1794,110.7364
-5.3,USC00027435,34.5172,109.4028
4.45,USC00027480,33.1819,110.5261
9.45,USC00027593,31.7625,110.8464
9.45,USC00027619,31.4831,111.5436
4.7,USC00027625,31.5717,111.5056
8.65,USC00027708,34.8956,111.7644
